participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,0,4.0157,,,,,,,,,2.9157,,0,0,0,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,5.8399,,,,,,,,,4.3399,space,0,1,1,2,1,1.5,images/target_square.jpg,7.4482,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,2.6636,,,,,,,,,1.5636,space,0,2,2,5,1,1.1,images/target_square.jpg,2.6404,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,3.1512,,,,,,,,,2.0512,space,0,3,3,0,1,1.1,images/target_cross.jpg,0.9623,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,2.8746,,,,,,,,,1.5746,space,0,4,4,8,1,1.3,images/target_square.jpg,0.8869,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,3.8555,,,,,,,,,2.3555,space,0,5,5,4,1,1.5,images/target_plus.jpg,0.5828,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.8407,,,,,,,,,1.5407,space,0,6,6,3,1,1.3,images/target_cross.jpg,0.475,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,3.795,,,,,,,,,2.495,space,0,7,7,1,1,1.3,images/target_plus.jpg,0.5453,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.8885,,,,,,,,,1.3885,space,0,8,8,6,1,1.5,images/target_cross.jpg,0.4736,,,,,,,,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,,,,,,,,,,,,,,,,,,,,,,,,-0.009259259,-0.24537037,1,0,0,,,,,
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,3.1993,,,,,,,,,2.0993,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,0,0,7,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,0,2.4123,,,,,,,,,1.3123,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,1,1,5,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,2.5134,,,,,,,,,1.2134,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,2,2,8,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.1541,,,,,,,,,1.0541,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,3,3,0,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,2.2254,,,,,,,,,0.9254,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.9399,,,,,,,,,1.4399,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,5,5,6,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.4044,,,,,,,,,1.1044,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,6,6,3,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,2.8309,,,,,,,,,1.3309,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,7,7,4,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,3.1789,,,,,,,,,1.6789,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,8,8,2,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,2.4909,,,,,,,,,1.3909,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,0,9,7,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.4592,,,,,,,,,1.1592,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,1,10,3,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,2.9355,,,,,,,,,1.4355,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,2,11,2,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,2.7243,,,,,,,,,1.4243,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,3,12,8,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,2.7733,,,,,,,,,1.2733,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,4,13,6,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,2.3962,,,,,,,,,0.8962,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,5,14,4,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,c,1,1.9124,,,,,,,,,0.8124,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,6,15,0,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,b,1,2.6319,,,,,,,,,1.3319,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,7,16,1,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,v,1,2.7573,,,,,,,,,1.6573,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,8,17,5,1
elena,001,2023-11-17_10h42.51.505,choiceRTT,2023.1.3,Win32,60.21919788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
